Field,Label,Value
created,Created,2018-09-26T15:39:17.685997
description,Description,Food prices data with HXL tags
format,File Format,CSV
download_url,Download URL,https://data.humdata.org/dataset/e0d3fba6-f9a2-45d7-b949-140c455197ff/resource/517ee1bf-2437-4f8c-aa1b-cb9925b9d437/download/wfp_food_prices_ken.csv
id,Resource ID,517ee1bf-2437-4f8c-aa1b-cb9925b9d437
last_modified,Updated,2023-09-19T05:09:42.960824
metadata_modified,Metadata Updated,2023-09-19T05:09:47.234242
microdata,Microdata,False
dataset_id,Dataset ID,e0d3fba6-f9a2-45d7-b949-140c455197ff
resource_type,Resource Type,file.upload
name,Resource Name,Kenya - Food Prices
mimetype,MIME Type,
size,Size,2.4M
